event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,,,2023-05-27 04:34:00,7,,,false,4,00000,2023-05-27 04:27:00,false,AUTOMATIC,MIG,,05,false,353Z191726,false,EARLY,95998501,05,42143,true,DOWN,DOWN,DEPARTURE,42140,
DEPARTURE,,,2023-05-27 04:29:00,2,,,true,4,76099,2023-05-27 04:27:00,false,AUTOMATIC,MLG,,09,false,514V30C926,false,EARLY,54606070,09,76099,true,DOWN,DOWN,DEPARTURE,76399,
DEPARTURE,,,2023-05-27 04:29:00,3,,,true,2,87801,2023-05-27 04:26:00,false,AUTOMATIC,, 4,88,false,875F96M427,false,EARLY,24788005,88,87801,true,DOWN,DOWN,DEPARTURE,87901,S
DEPARTURE,,,2023-05-27 04:38:30,11,,,false,3,00000,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,543C00M427,false,EARLY,22788002,88,54245,true,UP,UP,DEPARTURE,54304,S
ARRIVAL,,,2023-05-27 04:31:30,4,,,false,4,00000,2023-05-27 04:27:00,false,AUTOMATIC,,,20,false,251B59M327,false,EARLY,11817020,20,32107,true,,,ARRIVAL,32111,
ARRIVAL,,,2023-05-27 04:31:00,4,,,true,4,47412,2023-05-27 04:27:00,false,AUTOMATIC,,,21,false,525H011327,false,EARLY,21916400,21,47412,true,,,ARRIVAL,47342,
DEPARTURE,,,2023-05-27 04:28:30,1,,,true,1,18076,2023-05-27 04:27:00,false,AUTOMATIC,,,20,false,185B61M327,false,EARLY,11817020,20,18076,true,DOWN,DOWN,DEPARTURE,18305,K
ARRIVAL,2023-05-27 04:37:00,,2023-05-27 04:37:00,8,,,true,10,29150,2023-05-27 04:29:00,false,AUTOMATIC,, 2,23,false,295N80M427,false,EARLY,12974820,23,29150,true,DOWN,DOWN,ARRIVAL,29148,
DEPARTURE,,,2023-05-27 04:50:30,23,,,false,6,00000,2023-05-27 04:27:00,false,AUTOMATIC,MCM,,05,false,054M30CY26,false,EARLY,52407548,05,70070,true,UP,UP,DEPARTURE,70075,N
ARRIVAL,,,2023-05-27 04:27:30,1,,,true,1,87722,2023-05-27 04:28:00,false,AUTOMATIC,,,88,false,879W14M427,false,LATE,22729000,88,87722,true,,,ARRIVAL,87901,
DEPARTURE,,,2023-05-27 04:34:00,7,,,true,4,73251,2023-05-27 04:27:00,false,AUTOMATIC,ML1,,50,false,735Z391427,false,EARLY,22244008,50,73251,true,UP,UP,DEPARTURE,73240,
DEPARTURE,2023-05-27 04:55:00,,2023-05-27 04:55:00,31,,,true,10,81524,2023-05-27 04:24:00,false,AUTOMATIC,,,25,false,813F05M427,false,EARLY,25470001,25,81524,true,UP,UP,DEPARTURE,81606,N
ARRIVAL,2023-05-27 04:31:00,,2023-05-27 04:31:00,3,,,true,17,81109,2023-05-27 04:28:00,false,AUTOMATIC,, 2,25,false,815C66M427,false,EARLY,25462001,25,81109,true,UP,UP,ARRIVAL,81305,2
ARRIVAL,,,2023-05-27 04:27:30,0,,,true,1,87203,2023-05-27 04:27:00,false,AUTOMATIC,,,88,false,872L001427,false,ON TIME,24749000,88,87203,true,,,ARRIVAL,87230,
DEPARTURE,,,2023-05-27 04:42:30,15,,,true,9,49302,2023-05-27 04:27:00,false,AUTOMATIC,MKS, 2,09,false,494M45C227,false,EARLY,54606070,09,49302,true,UP,UP,DEPARTURE,50049,U
DEPARTURE,2023-05-27 06:25:00,,2023-05-27 06:25:00,118,,,true,1,81118,2023-05-27 04:27:00,false,AUTOMATIC,MAS,,09,false,494V36C826,false,EARLY,54606070,09,81118,true,DOWN,DOWN,DEPARTURE,76091,
DEPARTURE,,,2023-05-27 04:20:30,7,,,true,2,87722,2023-05-27 04:27:00,false,AUTOMATIC,,D,88,false,629W09M227,false,LATE,22720000,88,87722,true,DOWN,DOWN,DEPARTURE,87903,B
